,p1,p2,p3,average,accumulated,win_ratio,max_win,max_loss
0,5.0,10.0,5.0,0.001,0.857,0.384,0.167,-0.228
1,5.0,10.0,6.0,0.001,1.034,0.393,0.172,-0.236
2,5.0,10.0,7.0,0.001,0.992,0.404,0.172,-0.236
3,5.0,10.0,8.0,0.001,1.082,0.395,0.152,-0.236
4,5.0,10.0,9.0,0.001,0.961,0.389,0.152,-0.236
5,5.0,10.0,10.0,0.001,1.044,0.388,0.22,-0.226
6,5.0,10.0,11.0,0.002,1.29,0.385,0.209,-0.226
7,5.0,10.0,12.0,0.002,1.266,0.378,0.209,-0.226
8,5.0,10.0,13.0,0.003,1.604,0.389,0.209,-0.226
9,5.0,10.0,14.0,0.002,1.497,0.383,0.209,-0.226
10,5.0,10.0,15.0,0.003,1.581,0.384,0.209,-0.24
11,5.0,10.0,16.0,0.003,1.561,0.383,0.209,-0.24
12,5.0,10.0,17.0,0.003,1.522,0.381,0.209,-0.24
13,5.0,10.0,18.0,0.003,1.543,0.381,0.209,-0.24
14,5.0,10.0,19.0,0.003,1.562,0.383,0.209,-0.24
15,5.0,11.0,5.0,0.001,1.04,0.382,0.172,-0.236
16,5.0,11.0,6.0,0.001,1.115,0.397,0.172,-0.236
17,5.0,11.0,7.0,0.001,0.992,0.397,0.152,-0.236
18,5.0,11.0,8.0,0.001,0.899,0.394,0.152,-0.236
19,5.0,11.0,9.0,0.001,1.054,0.387,0.22,-0.226
20,5.0,11.0,10.0,0.002,1.29,0.385,0.209,-0.226
21,5.0,11.0,11.0,0.002,1.28,0.379,0.209,-0.226
22,5.0,11.0,12.0,0.002,1.55,0.388,0.209,-0.226
23,5.0,11.0,13.0,0.002,1.497,0.384,0.209,-0.226
24,5.0,11.0,14.0,0.003,1.567,0.386,0.209,-0.24
25,5.0,11.0,15.0,0.003,1.518,0.379,0.209,-0.24
26,5.0,11.0,16.0,0.003,1.676,0.386,0.209,-0.24
27,5.0,11.0,17.0,0.003,1.563,0.379,0.209,-0.24
28,5.0,11.0,18.0,0.003,1.568,0.378,0.209,-0.24
29,5.0,11.0,19.0,0.003,1.641,0.383,0.209,-0.24
30,5.0,12.0,5.0,0.001,1.079,0.384,0.172,-0.236
31,5.0,12.0,6.0,0.001,1.045,0.393,0.172,-0.236
32,5.0,12.0,7.0,0.001,0.892,0.384,0.152,-0.236
33,5.0,12.0,8.0,0.001,0.989,0.386,0.187,-0.236
34,5.0,12.0,9.0,0.002,1.324,0.383,0.22,-0.226
35,5.0,12.0,10.0,0.002,1.266,0.378,0.209,-0.226
36,5.0,12.0,11.0,0.002,1.55,0.388,0.209,-0.226
37,5.0,12.0,12.0,0.002,1.457,0.381,0.209,-0.226
38,5.0,12.0,13.0,0.003,1.613,0.386,0.209,-0.24
39,5.0,12.0,14.0,0.003,1.578,0.384,0.209,-0.24
40,5.0,12.0,15.0,0.003,1.61,0.378,0.209,-0.24
41,5.0,12.0,16.0,0.003,1.62,0.382,0.209,-0.24
42,5.0,12.0,17.0,0.003,1.629,0.383,0.209,-0.24
43,5.0,12.0,18.0,0.003,1.641,0.385,0.209,-0.24
44,5.0,12.0,19.0,0.003,1.6,0.388,0.224,-0.24
45,5.0,13.0,5.0,0.001,1.049,0.391,0.172,-0.236
46,5.0,13.0,6.0,0.001,1.096,0.389,0.172,-0.236
47,5.0,13.0,7.0,0.001,0.91,0.384,0.152,-0.236
48,5.0,13.0,8.0,0.002,1.185,0.384,0.22,-0.226
49,5.0,13.0,9.0,0.002,1.237,0.38,0.209,-0.226
50,5.0,13.0,10.0,0.003,1.604,0.389,0.209,-0.226
51,5.0,13.0,11.0,0.002,1.497,0.384,0.209,-0.226
52,5.0,13.0,12.0,0.003,1.613,0.386,0.209,-0.24
53,5.0,13.0,13.0,0.003,1.585,0.383,0.209,-0.24
54,5.0,13.0,14.0,0.003,1.63,0.378,0.209,-0.24
55,5.0,13.0,15.0,0.003,1.623,0.385,0.209,-0.24
56,5.0,13.0,16.0,0.003,1.647,0.387,0.209,-0.24
57,5.0,13.0,17.0,0.003,1.608,0.384,0.224,-0.24
58,5.0,13.0,18.0,0.003,1.505,0.392,0.224,-0.214
59,5.0,13.0,19.0,0.003,1.435,0.384,0.224,-0.214
60,5.0,14.0,5.0,0.001,1.058,0.391,0.172,-0.236
61,5.0,14.0,6.0,0.001,0.918,0.38,0.152,-0.236
62,5.0,14.0,7.0,0.001,1.051,0.379,0.22,-0.236
63,5.0,14.0,8.0,0.002,1.275,0.38,0.209,-0.226
64,5.0,14.0,9.0,0.002,1.408,0.385,0.209,-0.226
65,5.0,14.0,10.0,0.002,1.497,0.383,0.209,-0.226
66,5.0,14.0,11.0,0.003,1.567,0.386,0.209,-0.24
67,5.0,14.0,12.0,0.003,1.578,0.384,0.209,-0.24
68,5.0,14.0,13.0,0.003,1.63,0.378,0.209,-0.24
69,5.0,14.0,14.0,0.003,1.614,0.387,0.209,-0.24
70,5.0,14.0,15.0,0.003,1.688,0.392,0.209,-0.24
71,5.0,14.0,16.0,0.003,1.51,0.383,0.224,-0.24
72,5.0,14.0,17.0,0.003,1.432,0.383,0.224,-0.214
73,5.0,14.0,18.0,0.003,1.389,0.385,0.224,-0.214
74,5.0,14.0,19.0,0.003,1.353,0.383,0.224,-0.221
75,5.0,15.0,5.0,0.001,1.055,0.388,0.172,-0.236
76,5.0,15.0,6.0,0.001,0.841,0.379,0.152,-0.236
77,5.0,15.0,7.0,0.001,1.001,0.373,0.22,-0.226
78,5.0,15.0,8.0,0.002,1.2,0.38,0.209,-0.226
79,5.0,15.0,9.0,0.002,1.487,0.382,0.209,-0.226
80,5.0,15.0,10.0,0.003,1.581,0.384,0.209,-0.24
81,5.0,15.0,11.0,0.003,1.518,0.379,0.209,-0.24
82,5.0,15.0,12.0,0.003,1.61,0.378,0.209,-0.24
83,5.0,15.0,13.0,0.003,1.623,0.385,0.209,-0.24
84,5.0,15.0,14.0,0.003,1.688,0.392,0.209,-0.24
85,5.0,15.0,15.0,0.003,1.496,0.383,0.224,-0.24
86,5.0,15.0,16.0,0.003,1.485,0.383,0.224,-0.214
87,5.0,15.0,17.0,0.003,1.361,0.38,0.224,-0.214
88,5.0,15.0,18.0,0.003,1.401,0.381,0.278,-0.177
89,5.0,15.0,19.0,0.002,1.242,0.375,0.278,-0.177
90,5.0,16.0,5.0,0.001,0.986,0.382,0.172,-0.236
91,5.0,16.0,6.0,0.001,0.885,0.375,0.162,-0.236
92,5.0,16.0,7.0,0.002,1.086,0.371,0.209,-0.226
93,5.0,16.0,8.0,0.002,1.404,0.386,0.209,-0.226
94,5.0,16.0,9.0,0.003,1.567,0.384,0.209,-0.226
95,5.0,16.0,10.0,0.003,1.561,0.383,0.209,-0.24
96,5.0,16.0,11.0,0.003,1.676,0.386,0.209,-0.24
97,5.0,16.0,12.0,0.003,1.62,0.382,0.209,-0.24
98,5.0,16.0,13.0,0.003,1.647,0.387,0.209,-0.24
99,5.0,16.0,14.0,0.003,1.51,0.383,0.224,-0.24
100,5.0,16.0,15.0,0.003,1.485,0.383,0.224,-0.214
101,5.0,16.0,16.0,0.003,1.35,0.379,0.224,-0.214
102,5.0,16.0,17.0,0.003,1.405,0.382,0.278,-0.177
103,5.0,16.0,18.0,0.003,1.44,0.377,0.278,-0.085
104,5.0,16.0,19.0,0.003,1.58,0.378,0.278,-0.085
105,5.0,17.0,5.0,0.001,0.827,0.373,0.172,-0.236
106,5.0,17.0,6.0,0.001,0.97,0.371,0.209,-0.236
107,5.0,17.0,7.0,0.002,1.126,0.376,0.209,-0.226
108,5.0,17.0,8.0,0.002,1.372,0.372,0.209,-0.226
109,5.0,17.0,9.0,0.003,1.565,0.382,0.209,-0.24
110,5.0,17.0,10.0,0.003,1.522,0.381,0.209,-0.24
111,5.0,17.0,11.0,0.003,1.563,0.379,0.209,-0.24
112,5.0,17.0,12.0,0.003,1.629,0.383,0.209,-0.24
113,5.0,17.0,13.0,0.003,1.608,0.384,0.224,-0.24
114,5.0,17.0,14.0,0.003,1.432,0.383,0.224,-0.214
115,5.0,17.0,15.0,0.003,1.361,0.38,0.224,-0.214
116,5.0,17.0,16.0,0.003,1.405,0.382,0.278,-0.177
117,5.0,17.0,17.0,0.003,1.473,0.379,0.278,-0.085
118,5.0,17.0,18.0,0.003,1.651,0.381,0.278,-0.085
119,5.0,17.0,19.0,0.003,1.562,0.378,0.213,-0.085
120,5.0,18.0,5.0,0.001,0.737,0.37,0.172,-0.236
121,5.0,18.0,6.0,0.001,0.908,0.367,0.209,-0.226
122,5.0,18.0,7.0,0.002,1.148,0.37,0.209,-0.226
123,5.0,18.0,8.0,0.002,1.508,0.375,0.209,-0.226
124,5.0,18.0,9.0,0.002,1.512,0.377,0.209,-0.24
125,5.0,18.0,10.0,0.003,1.543,0.381,0.209,-0.24
126,5.0,18.0,11.0,0.003,1.568,0.378,0.209,-0.24
127,5.0,18.0,12.0,0.003,1.641,0.385,0.209,-0.24
128,5.0,18.0,13.0,0.003,1.505,0.392,0.224,-0.214
129,5.0,18.0,14.0,0.003,1.389,0.385,0.224,-0.214
130,5.0,18.0,15.0,0.003,1.401,0.381,0.278,-0.177
131,5.0,18.0,16.0,0.003,1.44,0.377,0.278,-0.085
132,5.0,18.0,17.0,0.003,1.651,0.381,0.278,-0.085
133,5.0,18.0,18.0,0.003,1.589,0.378,0.213,-0.085
134,5.0,18.0,19.0,0.003,1.689,0.378,0.213,-0.085
135,5.0,19.0,5.0,0.001,1.026,0.371,0.172,-0.236
136,5.0,19.0,6.0,0.001,0.927,0.367,0.209,-0.226
137,5.0,19.0,7.0,0.002,1.271,0.374,0.209,-0.226
138,5.0,19.0,8.0,0.002,1.504,0.378,0.209,-0.24
139,5.0,19.0,9.0,0.002,1.499,0.381,0.209,-0.24
140,5.0,19.0,10.0,0.003,1.562,0.383,0.209,-0.24
141,5.0,19.0,11.0,0.003,1.641,0.383,0.209,-0.24
142,5.0,19.0,12.0,0.003,1.6,0.388,0.224,-0.24
143,5.0,19.0,13.0,0.003,1.435,0.384,0.224,-0.214
144,5.0,19.0,14.0,0.003,1.353,0.383,0.224,-0.221
145,5.0,19.0,15.0,0.002,1.242,0.375,0.278,-0.177
146,5.0,19.0,16.0,0.003,1.58,0.378,0.278,-0.085
147,5.0,19.0,17.0,0.003,1.562,0.378,0.213,-0.085
148,5.0,19.0,18.0,0.003,1.689,0.378,0.213,-0.085
149,5.0,19.0,19.0,0.004,1.918,0.388,0.234,-0.085
150,5.0,20.0,5.0,0.001,0.861,0.366,0.172,-0.236
151,5.0,20.0,6.0,0.001,0.952,0.36,0.209,-0.226
152,5.0,20.0,7.0,0.002,1.358,0.369,0.209,-0.226
153,5.0,20.0,8.0,0.002,1.514,0.377,0.209,-0.24
154,5.0,20.0,9.0,0.003,1.486,0.384,0.209,-0.24
155,5.0,20.0,10.0,0.003,1.517,0.377,0.209,-0.24
156,5.0,20.0,11.0,0.003,1.584,0.38,0.224,-0.24
157,5.0,20.0,12.0,0.003,1.423,0.385,0.224,-0.214
158,5.0,20.0,13.0,0.002,1.338,0.382,0.224,-0.214
159,5.0,20.0,14.0,0.003,1.383,0.381,0.278,-0.177
160,5.0,20.0,15.0,0.003,1.564,0.379,0.278,-0.085
161,5.0,20.0,16.0,0.003,1.564,0.378,0.213,-0.085
162,5.0,20.0,17.0,0.003,1.723,0.376,0.213,-0.085
163,5.0,20.0,18.0,0.004,1.909,0.387,0.234,-0.085
164,5.0,20.0,19.0,0.004,1.927,0.376,0.234,-0.085
165,5.0,21.0,5.0,0.001,0.87,0.361,0.23,-0.236
166,5.0,21.0,6.0,0.001,0.96,0.364,0.209,-0.226
167,5.0,21.0,7.0,0.002,1.282,0.366,0.209,-0.226
168,5.0,21.0,8.0,0.003,1.551,0.383,0.209,-0.24
169,5.0,21.0,9.0,0.003,1.547,0.386,0.209,-0.24
170,5.0,21.0,10.0,0.003,1.563,0.381,0.209,-0.24
171,5.0,21.0,11.0,0.003,1.51,0.382,0.224,-0.24
172,5.0,21.0,12.0,0.003,1.36,0.384,0.224,-0.214
173,5.0,21.0,13.0,0.003,1.4,0.386,0.278,-0.177
174,5.0,21.0,14.0,0.003,1.498,0.382,0.278,-0.085
175,5.0,21.0,15.0,0.003,1.557,0.383,0.213,-0.085
176,5.0,21.0,16.0,0.004,1.765,0.38,0.213,-0.085
177,5.0,21.0,17.0,0.004,1.871,0.386,0.234,-0.085
178,5.0,21.0,18.0,0.004,1.94,0.38,0.234,-0.085
179,5.0,21.0,19.0,0.005,2.144,0.387,0.234,-0.085
180,5.0,22.0,5.0,0.001,0.949,0.358,0.23,-0.236
181,5.0,22.0,6.0,0.001,1.004,0.364,0.209,-0.226
182,5.0,22.0,7.0,0.002,1.324,0.374,0.209,-0.226
183,5.0,22.0,8.0,0.002,1.473,0.381,0.209,-0.24
184,5.0,22.0,9.0,0.003,1.516,0.381,0.209,-0.24
185,5.0,22.0,10.0,0.003,1.581,0.381,0.224,-0.24
186,5.0,22.0,11.0,0.002,1.34,0.38,0.224,-0.214
187,5.0,22.0,12.0,0.003,1.372,0.385,0.224,-0.214
188,5.0,22.0,13.0,0.003,1.506,0.382,0.278,-0.085
189,5.0,22.0,14.0,0.003,1.592,0.387,0.278,-0.085
190,5.0,22.0,15.0,0.003,1.603,0.379,0.213,-0.085
191,5.0,22.0,16.0,0.004,1.771,0.384,0.234,-0.085
192,5.0,22.0,17.0,0.004,1.887,0.383,0.234,-0.085
193,5.0,22.0,18.0,0.004,2.09,0.38,0.234,-0.085
194,5.0,22.0,19.0,0.005,2.19,0.387,0.234,-0.085
195,5.0,23.0,5.0,0.001,0.888,0.348,0.23,-0.226
196,5.0,23.0,6.0,0.002,1.071,0.363,0.209,-0.226
197,5.0,23.0,7.0,0.002,1.362,0.372,0.209,-0.24
198,5.0,23.0,8.0,0.002,1.493,0.382,0.209,-0.24
199,5.0,23.0,9.0,0.002,1.44,0.373,0.209,-0.24
200,5.0,23.0,10.0,0.003,1.526,0.383,0.224,-0.24
201,5.0,23.0,11.0,0.003,1.375,0.385,0.224,-0.214
202,5.0,23.0,12.0,0.002,1.329,0.387,0.278,-0.177
203,5.0,23.0,13.0,0.003,1.542,0.388,0.278,-0.085
204,5.0,23.0,14.0,0.003,1.573,0.386,0.213,-0.085
205,5.0,23.0,15.0,0.004,1.775,0.382,0.234,-0.085
206,5.0,23.0,16.0,0.004,1.834,0.382,0.234,-0.085
207,5.0,23.0,17.0,0.004,1.942,0.381,0.234,-0.085
208,5.0,23.0,18.0,0.005,2.221,0.384,0.234,-0.085
209,5.0,23.0,19.0,0.005,2.146,0.393,0.234,-0.085
210,5.0,24.0,5.0,0.001,0.86,0.343,0.23,-0.226
211,5.0,24.0,6.0,0.002,1.064,0.364,0.209,-0.226
212,5.0,24.0,7.0,0.002,1.277,0.372,0.209,-0.24
213,5.0,24.0,8.0,0.002,1.46,0.374,0.209,-0.24
214,5.0,24.0,9.0,0.003,1.6,0.383,0.209,-0.24
215,5.0,24.0,10.0,0.003,1.443,0.381,0.224,-0.214
216,5.0,24.0,11.0,0.003,1.401,0.384,0.224,-0.177
217,5.0,24.0,12.0,0.003,1.507,0.387,0.278,-0.085
218,5.0,24.0,13.0,0.003,1.545,0.379,0.278,-0.085
219,5.0,24.0,14.0,0.003,1.65,0.377,0.234,-0.085
220,5.0,24.0,15.0,0.004,1.749,0.38,0.234,-0.085
221,5.0,24.0,16.0,0.004,1.872,0.376,0.234,-0.085
222,5.0,24.0,17.0,0.005,2.165,0.383,0.234,-0.085
223,5.0,24.0,18.0,0.005,2.107,0.393,0.234,-0.085
224,5.0,24.0,19.0,0.005,2.096,0.396,0.234,-0.085
225,5.0,25.0,5.0,0.001,0.786,0.34,0.23,-0.226
226,5.0,25.0,6.0,0.002,1.13,0.368,0.23,-0.226
227,5.0,25.0,7.0,0.002,1.304,0.378,0.209,-0.24
228,5.0,25.0,8.0,0.002,1.458,0.378,0.209,-0.24
229,5.0,25.0,9.0,0.003,1.544,0.382,0.224,-0.24
230,5.0,25.0,10.0,0.002,1.266,0.383,0.224,-0.214
231,5.0,25.0,11.0,0.002,1.349,0.383,0.278,-0.177
232,5.0,25.0,12.0,0.003,1.599,0.388,0.278,-0.085
233,5.0,25.0,13.0,0.003,1.606,0.384,0.213,-0.085
234,5.0,25.0,14.0,0.003,1.746,0.382,0.234,-0.085
235,5.0,25.0,15.0,0.004,1.802,0.378,0.234,-0.085
236,5.0,25.0,16.0,0.004,2.082,0.378,0.234,-0.085
237,5.0,25.0,17.0,0.004,2.091,0.387,0.234,-0.085
238,5.0,25.0,18.0,0.005,2.081,0.397,0.234,-0.085
239,5.0,25.0,19.0,0.005,2.139,0.399,0.234,-0.085
240,5.0,26.0,5.0,0.001,0.776,0.341,0.23,-0.226
241,5.0,26.0,6.0,0.002,1.117,0.366,0.23,-0.226
242,5.0,26.0,7.0,0.002,1.36,0.373,0.209,-0.24
243,5.0,26.0,8.0,0.003,1.545,0.379,0.209,-0.24
244,5.0,26.0,9.0,0.003,1.503,0.379,0.224,-0.24
245,5.0,26.0,10.0,0.002,1.362,0.382,0.224,-0.214
246,5.0,26.0,11.0,0.003,1.449,0.385,0.278,-0.085
247,5.0,26.0,12.0,0.003,1.555,0.385,0.278,-0.085
248,5.0,26.0,13.0,0.003,1.665,0.385,0.234,-0.085
249,5.0,26.0,14.0,0.003,1.724,0.373,0.234,-0.085
250,5.0,26.0,15.0,0.004,1.844,0.375,0.234,-0.085
251,5.0,26.0,16.0,0.005,2.192,0.383,0.234,-0.085
252,5.0,26.0,17.0,0.005,2.113,0.387,0.234,-0.085
253,5.0,26.0,18.0,0.005,2.087,0.39,0.234,-0.085
254,5.0,26.0,19.0,0.005,2.182,0.399,0.234,-0.085
255,5.0,27.0,5.0,0.001,0.827,0.345,0.23,-0.226
256,5.0,27.0,6.0,0.001,0.939,0.364,0.23,-0.226
257,5.0,27.0,7.0,0.002,1.387,0.369,0.209,-0.24
258,5.0,27.0,8.0,0.002,1.463,0.374,0.209,-0.24
259,5.0,27.0,9.0,0.002,1.414,0.382,0.224,-0.24
260,5.0,27.0,10.0,0.003,1.529,0.382,0.224,-0.085
261,5.0,27.0,11.0,0.003,1.562,0.394,0.278,-0.085
262,5.0,27.0,12.0,0.003,1.586,0.387,0.234,-0.085
263,5.0,27.0,13.0,0.003,1.7,0.382,0.234,-0.085
264,5.0,27.0,14.0,0.003,1.637,0.375,0.234,-0.085
265,5.0,27.0,15.0,0.004,2.002,0.373,0.234,-0.085
266,5.0,27.0,16.0,0.004,2.061,0.384,0.234,-0.085
267,5.0,27.0,17.0,0.005,2.084,0.391,0.234,-0.085
268,5.0,27.0,18.0,0.005,2.122,0.393,0.234,-0.085
269,5.0,27.0,19.0,0.005,2.159,0.397,0.234,-0.085
270,5.0,28.0,5.0,0.001,0.916,0.345,0.23,-0.226
271,5.0,28.0,6.0,0.001,0.947,0.363,0.23,-0.24
272,5.0,28.0,7.0,0.002,1.329,0.365,0.209,-0.24
273,5.0,28.0,8.0,0.003,1.481,0.378,0.224,-0.24
274,5.0,28.0,9.0,0.002,1.314,0.382,0.224,-0.214
275,5.0,28.0,10.0,0.003,1.542,0.378,0.278,-0.085
276,5.0,28.0,11.0,0.003,1.597,0.384,0.3,-0.085
277,5.0,28.0,12.0,0.003,1.661,0.386,0.234,-0.085
278,5.0,28.0,13.0,0.003,1.722,0.384,0.234,-0.085
279,5.0,28.0,14.0,0.004,1.783,0.374,0.234,-0.085
280,5.0,28.0,15.0,0.004,2.048,0.378,0.234,-0.085
281,5.0,28.0,16.0,0.004,2.037,0.385,0.234,-0.085
282,5.0,28.0,17.0,0.005,2.107,0.393,0.234,-0.085
283,5.0,28.0,18.0,0.005,2.181,0.397,0.234,-0.085
284,5.0,28.0,19.0,0.005,2.112,0.401,0.328,-0.101
285,5.0,29.0,5.0,0.001,0.907,0.35,0.23,-0.226
286,5.0,29.0,6.0,0.001,0.97,0.365,0.23,-0.24
287,5.0,29.0,7.0,0.002,1.387,0.367,0.23,-0.24
288,5.0,29.0,8.0,0.003,1.533,0.379,0.224,-0.24
289,5.0,29.0,9.0,0.003,1.488,0.385,0.224,-0.085
290,5.0,29.0,10.0,0.003,1.528,0.377,0.3,-0.085
291,5.0,29.0,11.0,0.003,1.521,0.387,0.234,-0.085
292,5.0,29.0,12.0,0.003,1.711,0.391,0.234,-0.085
293,5.0,29.0,13.0,0.003,1.63,0.376,0.234,-0.085
294,5.0,29.0,14.0,0.004,2.042,0.377,0.234,-0.085
295,5.0,29.0,15.0,0.004,2.076,0.377,0.234,-0.085
296,5.0,29.0,16.0,0.004,1.956,0.391,0.234,-0.085
297,5.0,29.0,17.0,0.005,2.18,0.393,0.234,-0.085
298,5.0,29.0,18.0,0.005,2.148,0.397,0.328,-0.085
299,5.0,29.0,19.0,0.005,2.105,0.392,0.328,-0.101
300,5.0,30.0,5.0,0.001,0.828,0.348,0.23,-0.226
301,5.0,30.0,6.0,0.001,0.987,0.363,0.23,-0.24
302,5.0,30.0,7.0,0.002,1.303,0.371,0.23,-0.24
303,5.0,30.0,8.0,0.003,1.539,0.385,0.245,-0.24
304,5.0,30.0,9.0,0.003,1.488,0.384,0.245,-0.085
305,5.0,30.0,10.0,0.003,1.503,0.377,0.3,-0.085
306,5.0,30.0,11.0,0.003,1.511,0.389,0.234,-0.085
307,5.0,30.0,12.0,0.003,1.705,0.386,0.234,-0.085
308,5.0,30.0,13.0,0.003,1.694,0.379,0.234,-0.085
309,5.0,30.0,14.0,0.004,1.999,0.383,0.234,-0.085
310,5.0,30.0,15.0,0.004,1.984,0.383,0.234,-0.085
311,5.0,30.0,16.0,0.005,2.097,0.39,0.234,-0.085
312,5.0,30.0,17.0,0.005,2.209,0.397,0.234,-0.085
313,5.0,30.0,18.0,0.005,2.106,0.396,0.328,-0.085
314,5.0,30.0,19.0,0.005,2.052,0.391,0.328,-0.101
315,5.0,31.0,5.0,0.001,0.897,0.35,0.23,-0.226
316,5.0,31.0,6.0,0.002,1.07,0.36,0.23,-0.24
317,5.0,31.0,7.0,0.002,1.266,0.369,0.23,-0.24
318,5.0,31.0,8.0,0.003,1.566,0.383,0.245,-0.104
319,5.0,31.0,9.0,0.003,1.561,0.38,0.3,-0.085
320,5.0,31.0,10.0,0.003,1.496,0.381,0.3,-0.085
321,5.0,31.0,11.0,0.003,1.562,0.385,0.234,-0.085
322,5.0,31.0,12.0,0.003,1.695,0.387,0.234,-0.085
323,5.0,31.0,13.0,0.004,2.007,0.381,0.234,-0.085
324,5.0,31.0,14.0,0.004,2.055,0.381,0.234,-0.085
325,5.0,31.0,15.0,0.004,1.966,0.385,0.234,-0.085
326,5.0,31.0,16.0,0.005,2.142,0.388,0.234,-0.085
327,5.0,31.0,17.0,0.005,2.118,0.391,0.328,-0.085
328,5.0,31.0,18.0,0.005,2.042,0.396,0.328,-0.101
329,5.0,31.0,19.0,0.005,2.114,0.389,0.33,-0.101
330,5.0,32.0,5.0,0.001,0.875,0.347,0.23,-0.226
331,5.0,32.0,6.0,0.002,1.195,0.361,0.23,-0.24
332,5.0,32.0,7.0,0.002,1.265,0.369,0.245,-0.24
333,5.0,32.0,8.0,0.003,1.504,0.384,0.245,-0.092
334,5.0,32.0,9.0,0.003,1.47,0.378,0.3,-0.085
335,5.0,32.0,10.0,0.003,1.589,0.381,0.3,-0.085
336,5.0,32.0,11.0,0.003,1.616,0.385,0.234,-0.085
337,5.0,32.0,12.0,0.003,1.723,0.383,0.234,-0.085
338,5.0,32.0,13.0,0.004,2.01,0.379,0.234,-0.085
339,5.0,32.0,14.0,0.004,2.036,0.38,0.234,-0.085
340,5.0,32.0,15.0,0.004,1.97,0.386,0.234,-0.085
341,5.0,32.0,16.0,0.005,2.147,0.393,0.234,-0.085
342,5.0,32.0,17.0,0.005,2.031,0.391,0.328,-0.089
343,5.0,32.0,18.0,0.005,1.952,0.386,0.328,-0.101
344,5.0,32.0,19.0,0.005,2.073,0.391,0.33,-0.101
345,5.0,33.0,5.0,0.001,1.026,0.348,0.23,-0.096
346,5.0,33.0,6.0,0.002,1.229,0.361,0.23,-0.24
347,5.0,33.0,7.0,0.002,1.391,0.369,0.245,-0.104
348,5.0,33.0,8.0,0.003,1.511,0.383,0.245,-0.085
349,5.0,33.0,9.0,0.003,1.448,0.379,0.3,-0.085
350,5.0,33.0,10.0,0.003,1.538,0.38,0.234,-0.085
351,5.0,33.0,11.0,0.003,1.759,0.384,0.234,-0.085
352,5.0,33.0,12.0,0.004,1.754,0.378,0.234,-0.085
353,5.0,33.0,13.0,0.004,1.964,0.375,0.234,-0.085
354,5.0,33.0,14.0,0.004,1.943,0.379,0.234,-0.085
355,5.0,33.0,15.0,0.005,2.114,0.389,0.234,-0.085
356,5.0,33.0,16.0,0.005,2.14,0.388,0.328,-0.085
357,5.0,33.0,17.0,0.005,1.963,0.389,0.328,-0.089
358,5.0,33.0,18.0,0.005,2.033,0.388,0.33,-0.101
359,5.0,33.0,19.0,0.005,2.16,0.386,0.33,-0.101
360,5.0,34.0,5.0,0.001,0.997,0.349,0.23,-0.096
361,5.0,34.0,6.0,0.002,1.323,0.364,0.23,-0.104
362,5.0,34.0,7.0,0.002,1.401,0.369,0.245,-0.104
363,5.0,34.0,8.0,0.003,1.672,0.383,0.3,-0.085
364,5.0,34.0,9.0,0.003,1.459,0.377,0.3,-0.085
365,5.0,34.0,10.0,0.003,1.504,0.38,0.234,-0.085
366,5.0,34.0,11.0,0.003,1.742,0.384,0.234,-0.085
367,5.0,34.0,12.0,0.004,1.934,0.379,0.234,-0.085
368,5.0,34.0,13.0,0.004,2.032,0.381,0.234,-0.085
369,5.0,34.0,14.0,0.004,2.048,0.384,0.234,-0.085
370,5.0,34.0,15.0,0.005,2.11,0.384,0.234,-0.085
371,5.0,34.0,16.0,0.005,1.991,0.384,0.328,-0.089
372,5.0,34.0,17.0,0.005,1.958,0.377,0.328,-0.089
373,5.0,34.0,18.0,0.005,2.106,0.388,0.33,-0.101
374,5.0,34.0,19.0,0.006,2.199,0.396,0.33,-0.101
375,6.0,11.0,5.0,0.001,1.115,0.397,0.172,-0.236
376,6.0,11.0,6.0,0.001,1.045,0.398,0.152,-0.236
377,6.0,11.0,7.0,0.002,1.081,0.397,0.187,-0.236
378,6.0,11.0,8.0,0.002,1.325,0.392,0.22,-0.226
379,6.0,11.0,9.0,0.002,1.289,0.388,0.209,-0.226
380,6.0,11.0,10.0,0.002,1.51,0.392,0.209,-0.226
381,6.0,11.0,11.0,0.003,1.646,0.389,0.209,-0.24
382,6.0,11.0,12.0,0.003,1.612,0.386,0.209,-0.24
383,6.0,11.0,13.0,0.003,1.642,0.385,0.209,-0.24
384,6.0,11.0,14.0,0.003,1.605,0.39,0.209,-0.24
385,6.0,11.0,15.0,0.003,1.796,0.396,0.209,-0.24
386,6.0,11.0,16.0,0.003,1.803,0.396,0.209,-0.24
387,6.0,11.0,17.0,0.003,1.625,0.383,0.209,-0.24
388,6.0,11.0,18.0,0.003,1.565,0.389,0.224,-0.214
389,6.0,11.0,19.0,0.003,1.517,0.4,0.224,-0.214
390,6.0,12.0,5.0,0.001,1.045,0.393,0.172,-0.236
391,6.0,12.0,6.0,0.001,0.852,0.39,0.152,-0.236
392,6.0,12.0,7.0,0.002,1.137,0.39,0.22,-0.226
393,6.0,12.0,8.0,0.002,1.25,0.387,0.209,-0.226
394,6.0,12.0,9.0,0.002,1.449,0.389,0.209,-0.226
395,6.0,12.0,10.0,0.003,1.621,0.388,0.209,-0.226
396,6.0,12.0,11.0,0.003,1.612,0.386,0.209,-0.24
397,6.0,12.0,12.0,0.003,1.63,0.384,0.209,-0.24
398,6.0,12.0,13.0,0.003,1.668,0.39,0.209,-0.24
